99948 151920
1 12995 50
1 18172 37
1 26012 88
1 56796 62
1 58801 72
3 23743 93
3 38724 7
3 44345 62
3 53572 48
4 487 100
4 12431 87
4 33017 100
5 34300 68
5 37781 50
6 31626 30
6 50263 60
6 60791 67
9 7666 87
9 10642 61
9 37019 19
9 38279 64
9 44427 79
9 59322 84
12 54555 53
12 57813 47
12 62403 79
12 63399 98
13 58807 47
13 64117 67
14 22012 38
14 22850 39
14 27595 61
14 33302 2
14 37809 40
14 57509 98
16 11076 94
16 13276 31
16 22199 90
16 25912 5
16 28911 50
16 39351 64
16 53453 34
17 15555 86
17 30544 83
17 32008 45
17 34178 45
17 52723 9
18 11074 69
18 22345 91
18 29124 67
18 30502 6
18 46244 97
18 49798 7
18 54192 36
20 16780 63
20 23769 59
20 28624 33
20 29468 13
20 33112 21
20 43846 69
21 5068 83
21 7621 61
21 11176 39
21 21456 77
21 38231 1
21 40648 96
21 48245 96
21 49722 53
22 22565 63
22 39439 40
22 58743 12
22 59013 47
23 5217 7
23 31239 51
23 35856 70
23 40375 69
23 43458 83
24 69297 74
25 2478 72
25 15907 20
25 78422 91
25 89167 20
27 45299 98
27 57122 20
27 74735 16
29 19224 20
29 27366 89
29 48489 36
29 57273 57
30 2750 57
30 62350 10
30 64343 21
30 81241 99
30 84061 46
32 15034 27
32 43858 68
32 43863 46
32 65858 85
33 68227 87
34 1148 25
34 2613 31
34 52041 86
34 66302 10
35 43655 67
35 77597 6
35 77640 91
37 1194 45
37 16690 46
37 22284 4
37 41098 50
37 49662 65
37 54862 82
37 56581 2
38 291 50
38 51400 18
38 57670 80
38 65004 84
38 76748 40
38 83595 71
40 9308 21
40 38586 63
40 40749 51
40 56734 100
40 65122 45
42 14084 4
42 54862 100
42 74874 44
42 78718 71
43 19555 45
43 49922 23
43 60729 31
45 1182 94
45 3962 6
45 15386 52
45 25844 14
45 27947 52
48 23607 27
48 24027 45
48 42694 84
48 45672 49
48 50079 54
49 4473 29
49 22265 11
49 39413 35
51 4411 96
51 10601 73
51 47194 95
51 62654 71
51 72310 89
52 15023 84
52 70635 62
53 27417 54
53 29352 12
53 36475 100
53 42517 72
56 2432 37
56 41654 93
56 42008 51
58 12433 20
58 19552 68
58 19631 79
60 39223 88
60 48181 36
60 57573 76
60 70656 37
65 793 64
65 3838 27
65 9909 48
65 17964 97
65 21008 75
65 24131 77
65 25972 30
65 39486 47
66 16937 88
66 19603 36
66 20136 9
66 42356 7
67 14436 68
67 37353 100
67 48407 86
67 61510 17
69 772 89
69 14155 39
69 18267 67
69 46826 44
71 14942 1
71 29805 41
71 35212 64
79 1119 18
79 25885 11
79 53317 94
80 55588 12
80 55668 38
80 56543 65
80 58417 17
80 58680 3
80 69387 83
80 89604 92
82 1450 87
82 3925 77
82 26230 67
84 3342 33
84 34498 39
84 36756 69
84 40945 54
84 42798 86
84 43794 18
84 50313 37
84 58484 27
84 70564 65
86 9666 70
86 10608 93
86 39669 87
86 60996 55
87 25141 76
87 26265 96
87 34648 57
87 46109 84
87 55715 50
87 63755 100
87 66182 66
87 71111 92
90 5326 41
90 17760 77
90 18867 80
90 27049 32
