99927 196857
1 33992 66
1 38830 32
1 39841 86
1 43946 55
1 45423 94
1 47824 98
2 6828 5
2 11156 96
2 11576 16
2 30063 69
2 62656 57
3 1210 84
3 5783 60
3 8419 4
3 20669 92
3 35555 38
3 55539 67
3 55747 17
3 56631 19
3 64817 100
4 3042 36
4 16530 3
4 25415 4
4 36397 41
4 58411 46
5 6818 88
5 13121 13
5 15133 39
5 15801 11
5 22293 28
5 24351 12
5 25579 32
5 27563 10
5 34978 44
5 43208 26
6 1575 42
6 26047 32
6 31832 31
6 36451 38
7 1837 8
7 54045 78
7 62714 73
8 16685 79
8 19425 4
8 21622 58
8 26404 81
8 54475 66
9 6951 73
9 21532 89
9 38936 28
9 47349 70
9 65601 67
11 40536 21
11 57235 7
11 59217 88
11 90766 73
12 14220 50
12 16453 53
12 37147 80
12 55651 76
13 14001 83
13 17820 87
13 29110 30
13 52072 30
13 52788 25
15 2084 3
15 27484 60
15 29453 49
15 30938 67
15 45979 13
15 51816 96
15 54763 32
15 68809 77
17 1673 56
17 5635 73
17 6619 45
17 8000 11
17 22383 12
17 28797 59
17 32992 71
17 40542 19
17 46706 29
17 66269 16
20 1175 92
20 10401 7
20 15932 36
20 16915 85
20 25710 71
20 43095 18
20 58768 100
21 30691 44
21 50884 2
21 54160 88
22 15904 72
22 38329 33
22 63222 4
22 67412 94
22 67978 95
22 68763 14
23 5681 42
23 21724 39
23 24623 89
23 48846 7
23 49891 85
23 64915 93
23 65441 81
25 12777 97
25 32838 48
25 41436 21
25 44104 23
25 64743 45
28 2108 80
28 12672 44
28 16096 100
28 18271 93
28 25468 15
28 54566 66
32 4384 36
32 5704 43
32 15778 88
32 25581 67
32 27158 36
32 32144 64
33 3944 77
33 9485 67
33 13751 8
33 19882 32
33 23985 9
33 26078 62
33 32048 78
33 57046 46
34 226 12
34 23528 29
34 26298 18
34 30128 26
34 34828 52
34 35101 91
34 36391 81
34 42398 66
34 50360 17
34 51274 32
35 5327 75
35 44119 6
35 61968 55
36 7459 86
36 12982 5
36 31583 62
36 45015 53
39 728 50
39 2336 84
39 14576 93
39 21205 43
39 34661 60
39 43073 37
39 46022 44
39 50069 55
42 1633 80
