91 147
2 17 7
2 84 69
3 29 30
3 48 35
4 65 54
4 72 18
5 21 61
8 61 30
8 66 81
8 69 34
9 3 32
12 61 14
13 68 83
13 75 1
14 30 97
15 51 68
17 64 81
18 7 61
18 13 15
18 22 67
18 43 59
18 46 97
18 80 71
19 54 62
19 65 31
19 72 57
20 1 3
20 89 4
21 66 35
22 57 76
22 63 62
22 69 17
22 81 97
23 21 85
23 90 64
24 55 66
24 85 5
24 90 65
25 72 66
26 10 48
26 56 2
26 64 58
27 4 29
27 71 82
27 76 21
28 17 88
29 65 11
29 91 97
30 21 33
30 80 65
31 84 1
32 30 89
32 75 23
34 29 4
34 59 88
35 1 31
35 85 69
36 10 72
36 57 66
36 61 27
37 91 33
38 69 63
38 84 9
38 91 8
39 17 68
43 30 60
44 37 97
45 19 7
45 46 5
47 48 53
48 41 65
48 71 23
49 65 50
49 85 5
50 61 15
51 48 14
52 40 35
53 84 86
54 61 85
55 22 15
55 54 8
56 66 69
57 4 32
57 49 34
57 61 17
57 65 38
58 91 34
59 60 80
59 75 68
59 86 9
60 13 64
60 53 13
61 66 68
61 72 31
61 80 93
61 91 9
62 4 79
62 49 31
62 61 58
63 72 48
63 72 67
64 19 76
64 44 2
65 66 34
67 61 63
69 5 51
69 11 50
69 81 66
70 17 6
70 43 23
71 5 7
71 54 77
71 81 4
71 81 17
72 65 100
72 66 52
74 5 21
75 80 23
76 31 71
76 32 86
76 32 34
76 49 36
77 76 27
77 89 57
78 80 91
79 22 86
79 68 89
79 69 75
79 72 36
79 72 90
80 91 37
83 8 72
83 63 23
83 66 83
84 5 22
84 49 88
84 54 34
84 61 74
85 21 70
85 21 97
87 85 39
88 36 37
88 71 20
89 30 88
90 4 48
90 84 70
91 66 94
