99964 177935
1 4414 100
1 8823 24
1 19381 73
1 30879 4
2 133 67
2 1436 17
2 10059 52
2 14088 56
2 27886 82
2 40362 30
2 42504 92
5 18084 42
5 38509 48
5 39928 11
6 14680 15
6 38917 76
6 51004 74
6 61923 12
7 11149 88
7 53093 89
7 58889 18
7 78497 9
11 4562 42
11 44001 15
11 55228 31
11 74981 12
12 10072 98
12 21678 26
12 41767 75
12 49257 4
12 53324 11
12 55523 76
13 15023 66
13 23915 45
13 37792 96
13 49965 7
13 55361 95
13 56246 33
13 73702 89
13 76301 40
15 12329 42
15 23057 4
15 24648 8
15 62010 32
15 72768 4
17 2717 87
17 42587 17
17 48324 71
17 51910 79
18 9324 86
18 28268 7
18 40838 68
18 54232 83
18 59709 81
19 47755 89
19 55316 48
20 10743 98
20 14205 96
20 37917 17
20 43825 41
20 45052 93
20 73122 85
21 1795 96
21 7452 45
21 18811 1
21 28727 65
21 29296 96
21 56407 88
27 2221 100
27 11580 56
27 40296 57
28 64101 20
29 11849 6
29 19371 61
29 47285 100
29 63656 32
29 64422 76
29 83925 88
30 5293 44
30 6209 8
30 24070 44
30 31985 15
31 788 98
31 12403 97
31 22607 66
31 43644 50
31 59780 42
32 12277 84
32 33179 43
34 942 78
34 15250 23
36 4309 20
36 22694 26
36 47882 75
36 54651 42
36 61306 29
36 63305 68
36 69417 36
37 6932 57
37 11477 61
37 18951 2
37 28594 32
37 44159 65
37 46765 16
38 6642 69
38 13387 80
38 14420 31
38 41388 97
38 52917 29
38 53998 97
38 73523 40
38 74000 79
38 80325 73
38 92243 58
39 6100 95
39 19822 73
39 58431 87
42 24653 6
42 38696 22
42 65791 97
43 17945 51
43 18295 30
43 29655 53
43 33442 48
43 35227 99
44 7802 32
44 27266 98
44 44463 45
44 52336 25
45 6356 34
45 7654 3
45 30170 39
45 35895 58
45 43979 100
45 45569 63
45 54699 46
45 58126 66
45 58923 88
45 70076 49
46 1963 99
46 4438 28
46 9970 74
46 26897 63
46 57920 22
47 12748 77
47 15696 12
47 23753 92
47 41346 17
47 50390 76
47 53823 87
49 82711 44
49 90373 4
50 4620 100
50 11520 93
50 12100 58
50 22791 44
50 25666 4
50 27002 11
50 28951 27
50 55551 3
50 64483 15
51 778 79
51 14126 47
51 19451 58
51 41289 47
52 455 78
52 1823 78
52 36681 43
52 48415 54
54 42538 15
55 19610 96
55 27294 91
55 29222 11
55 31830 80
55 34391 2
55 44534 80
55 59935 61
56 3039 53
56 7530 25
56 8767 14
56 14307 15
56 19980 36
56 32361 98
56 49753 57
56 53152 77
56 54656 3
56 63071 34
56 72780 9
57 22755 79
57 24664 68
57 26654 17
57 40075 70
57 40834 33
57 41449 17
57 50236 79
57 54900 76
58 3898 6
58 30448 2
58 61751 67
58 68352 90
58 70249 87
59 20133 55
59 26608 69
59 47383 59
59 55267 66
59 60403 41
59 60631 45
59 65421 27
59 79832 25
61 5174 7
61 12156 40
61 16571 10
61 27324 39
61 43011 38
61 50227 34
62 5455 76
62 13177 48
62 15343 8
62 16965 77
62 21271 50
62 24361 31
62 48246 1
63 20680 53
63 25030 50
63 55361 58
63 57298 57
65 37980 64
65 40761 49
65 44381 93
65 66987 100
65 73413 86
65 76766 7
65 81107 2
66 38362 58
66 48590 11
66 58925 93
67 22338 24
67 32954 24
67 48639 52
69 11657 87
69 13756 58
69 41482 38
71 382 58
71 3230 83
71 5066 82
71 38354 65
71 54459 36
73 11126 57
73 16040 9
73 37581 5
73 53054 77
74 8864 21
74 62139 51
75 22306 85
75 25171 78
75 81570 10
75 81669 33
76 333 2
76 2489 33
76 27906 75
76 49107 11
76 69072 43
76 78845 54
77 7055 46
77 24917 34
77 37050 35
77 37110 100
77 45870 67
77 58533 6
79 14596 56
79 15330 62
79 28311 46
79 28662 29
79 29725 34
80 1824 28
80 2418 31
80 6778 98
80 10312 12
80 29783 53
80 52391 30
84 46529 14
85 38375 59
85 42506 9
85 43323 11
85 47308 77
85 54115 57
85 80086 15
88 4034 71
88 18845 13
88 48804 98
88 54627 89
89 43741 20
89 55750 67
90 3430 48
90 11014 54
91 23075 90
91 54426 86
91 64409 34
92 11984 85
92 29135 71
92 50681 77
94 44452 98
94 49835 56
95 20141 45
95 45844 92
95 49120 74
95 50537 82
95 50841 66
95 60705 13
95 71871 97
95 74447 47
96 11461 91
96 13200 47
96 18430 34
96 20769 97
96 26312 19
96 27897 21
96 28338 95
96 35064 74
96 57919 79
97 14268 14
97 18125 16
97 26621 67
97 39071 39
97 46826 31
97 61670 66
98 127 29
98 33525 38
98 38366 61
98 50153 12
98 50381 70
98 60614 99
98 62631 18
99 1714 3
99 9789 38
99 10218 99
99 41489 7
99 43344 55
99 51168 86
99 51714 87
99 56164 39
99 63905 30
99 79064 23
100 14820 15
100 18913 22
100 20994 11
100 45323 46
100 49448 11
100 59479 30
101 13026 77
101 32269 55
101 37566 91
101 59308 53
102 15565 4
102 25600 93
104 29573 90
104 37118 25
106 2035 38
106 8278 71
106 21521 43
106 55062 10
110 33989 20
110 34026 24
110 39961 34
110 52176 52
110 54599 90
110 57301 57
112 20229 44
112 32648 55
112 36348 100
112 39569 19
114 3620 35
114 8801 47
114 31611 25
114 33494 3
114 40242 59
114 47943 82
114 48768 5
114 60605 35
116 17715 30
116 22007 94
116 25797 81
116 26257 47
116 35803 77
116 39065 88
116 50750 91
116 51679 69
117 729 69
117 25537 27
117 29679 30
117 45289 72
117 46455 57
117 65739 30
117 74798 77
118 15 77
118 840 24
118 15646 55
118 55833 35
118 75400 50
121 2334 89
121 20214 18
121 27649 82
121 30615 1
121 43799 87
121 55145 61
123 44500 20
123 51523 22
123 62785 40
124 4471 42
124 9017 31
124 15956 69
124 34364 87
124 51015 67
125 9625 83
125 20734 29
125 21233 44
125 34338 57
125 40143 81
125 40825 80
125 70873 96
126 6976 29
126 56443 12
126 62703 19
126 74808 75
127 13754 14
127 26137 33
127 35380 36
127 36127 2
127 48453 41
127 68270 94
128 5190 25
128 17934 75
128 57513 82
129 15064 98
129 36646 27
129 42975 73
130 1667 9
130 21390 35
130 42778 3
130 52288 21
133 1295 55
133 9549 85
133 15873 37
133 25321 23
133 45737 77
137 24861 89
137 56362 42
137 62574 65
137 62735 24
137 70919 13
138 15287 20
138 36963 82
138 45065 85
138 53284 96
138 67210 18
138 68721 96
140 6531 42
140 14616 81
140 22755 61
140 48359 89
140 53167 22
140 72328 33
140 74035 21
142 2261 54
142 14048 1
142 16849 61
142 27162 12
142 37341 64
142 44597 21
142 60122 41
142 65862 30
145 853 2
145 1336 97
145 9954 83
145 33327 40
145 43286 74
145 50130 19
145 54555 89
146 381 92
146 8933 37
146 9080 65
146 28174 55
146 51648 86
146 53962 63
148 8547 100
148 34529 25
148 48429 76
148 57339 46
150 1649 58
150 45240 6
150 53054 21
151 11100 63
151 37449 51
151 55113 97
151 80766 44
154 128 47
154 3278 68
154 22055 70
154 28341 42
154 44358 67
154 46890 40
154 58049 39
154 68534 40
156 33897 61
156 37189 63
156 39018 18
156 45163 79
156 50716 22
156 52253 44
158 7091 90
158 23560 67
158 37118 90
158 44889 87
158 58984 21
158 60435 91
161 15550 3
161 15917 51
161 31585 100
161 40820 62
161 43918 99
162 3972 86
162 16059 54
162 20997 79
164 4617 53
164 5621 31
164 8464 90
164 16588 71
164 21001 25
164 23502 86
164 23606 98
164 36654 17
164 51062 24
164 57166 33
165 48135 65
165 49980 91
165 56989 3
166 5963 99
166 21112 18
166 24068 66
166 64553 80
168 14695 92
168 35583 6
168 39298 46
169 6126 39
169 6788 19
169 30751 32
169 36118 8
169 41625 23
169 44719 94
170 3774 22
170 9843 88
170 42194 42
170 46837 44
170 59618 68
170 62962 63
171 3972 14
171 30442 48
171 42238 26
172 10532 18
172 11560 10
172 32032 69
172 51644 86
172 54070 7
172 62730 89
172 64989 66
172 70904 56
172 78774 94
173 11803 12
173 45282 79
174 43015 77
174 44562 83
174 56955 39
174 57310 56
174 69191 89
174 70259 11
182 7413 70
182 12655 67
182 38711 81
182 54528 81
184 11460 30
184 50211 38
184 61201 47
185 5919 30
185 8537 80
185 22922 75
185 27697 49
185 28391 78
185 40446 26
185 45951 48
185 57205 62
186 49486 88
186 63049 95
188 1185 26
188 39016 27
188 42463 63
188 65336 64
192 21931 100
192 56994 41
192 65208 98
192 72245 37
193 13083 83
193 32954 41
193 36766 59
193 51495 21
193 57173 86
193 57334 17
194 10145 13
194 15942 67
194 48173 92
194 52546 59
194 53700 71
194 55859 20
195 27628 39
195 57561 34
195 69966 8
197 15074 1
197 18127 19
197 38987 23
197 55460 23
197 57016 42
197 75031 60
198 18855 15
198 25311 46
198 39857 88
198 44423 46
198 46405 89
198 46962 5
198 47906 85
198 64844 32
198 70242 66
199 22963 99
199 23748 69
199 31550 56
199 49545 62
201 6820 12
201 23766 94
201 27018 65
201 37143 93
201 65441 86
204 3608 76
204 34842 92
204 35983 82
204 45811 20
204 55083 82
204 56386 13
205 27702 50
205 44223 52
205 64742 51
206 2488 3
206 3713 62
206 11670 91
206 41463 71
206 42479 42
206 46258 25
206 49146 79
208 11349 54
208 40661 45
209 276 99
209 18705 17
209 29336 47
209 31897 83
209 37196 27
209 42563 28
209 42952 56
209 50577 75
209 54812 32
209 67441 38
211 9769 43
211 18986 48
211 21929 12
211 22478 70
211 32286 42
213 1070 54
213 1935 43
213 3197 89
213 37458 77
213 54708 16
213 55146 13
214 18253 90
214 36855 8
214 45143 55
216 48335 24
216 66746 96
216 74415 80
217 19165 51
217 47404 99
217 54143 91
217 61251 88
217 67508 86
219 18792 35
219 20570 26
219 35940 24
219 42140 33
219 50234 40
219 55717 77
219 56790 17
220 42963 53
220 49505 6
220 67849 4
221 1958 35
221 7190 12
221 23768 23
221 25411 76
221 25428 75
221 35196 88
221 45903 79
221 50207 10
221 50804 81
221 51813 17
221 57385 32
221 66342 45
222 6248 11
222 9853 79
222 22491 86
222 46901 40
222 54101 62
222 56527 95
222 62977 5
223 20006 20
223 24113 49
223 46934 4
223 47912 89
223 61361 1
223 62261 22
223 74102 93
224 17621 15
224 17856 40
224 49033 12
225 14352 9
225 28849 28
225 30268 56
225 48290 51
225 65615 81
225 75374 76
226 38329 17
226 45686 2
226 81522 87
227 13421 22
227 14947 7
227 17275 13
227 50465 91
228 4298 28
228 13392 26
228 17702 79
228 21617 49
228 24463 13
228 33937 95
228 42556 28
228 60110 55
228 65509 45
229 16401 31
229 39450 92
229 69355 90
230 8357 73
230 12226 19
230 21670 84
230 46608 69
230 58850 88
231 1686 18
231 19950 59
231 20008 53
231 32430 90
231 32789 42
231 39684 100
231 49772 76
231 68157 30
231 92375 37
232 3306 27
232 6963 57
232 11631 49
232 60261 7
232 63322 54
233 9535 45
233 16902 66
233 22765 6
233 47351 47
233 57492 23
233 63478 20
235 3044 31
235 20884 23
235 22691 43
235 35930 54
235 55784 27
237 3640 96
237 16799 89
237 28274 57
237 49503 51
237 55236 4
237 68915 90
237 69168 96
237 69924 74
237 77293 73
238 4676 22
238 12314 53
238 40203 86
238 55831 79
238 59605 60
238 71444 51
239 1642 20
239 15521 62
239 18702 77
239 19602 26
239 48270 1
242 5425 35
242 15064 5
242 16710 80
242 40851 62
242 49974 72
242 56039 89
242 62372 94
242 67468 96
244 9421 24
244 69613 37
244 74526 30
245 11625 63
245 28388 73
245 82126 20
246 574 29
246 2300 72
246 25595 43
246 28295 99
246 31710 85
246 43522 11
246 55647 69
246 56902 15
246 63528 94
249 60385 12
249 72729 68
249 79862 28
249 88291 54
249 89309 47
250 52638 32
250 55039 6
250 62023 4
250 68016 39
253 31002 65
254 2795 7
254 3315 28
254 16861 47
254 40464 66
254 42910 25
254 66682 93
254 66941 53
255 5954 78
255 13676 81
255 45437 6
255 49597 16
255 64078 25
256 3703 16
256 10193 3
256 11484 38
256 19586 62
256 41363 6
257 6241 84
257 7175 4
259 66679 26
259 67672 16
259 71132 86
259 75033 69
261 3413 21
261 32655 25
261 45544 64
261 54087 67
261 54473 99
262 650 12
262 40936 73
264 27105 82
264 65293 100
264 73234 40
264 73516 80
266 43536 71
267 8314 70
267 10806 1
267 24471 93
267 37522 14
267 47096 36
267 53204 47
267 62760 2
268 6894 90
268 9935 69
268 19375 84
270 20360 92
270 43000 45
270 64954 34
270 73568 79
270 76908 62
271 11000 54
271 38319 47
271 65561 7
271 68267 62
273 28617 21
273 29307 5
273 50345 52
274 5310 29
274 7358 16
274 13878 55
274 27221 49
274 37173 36
274 50255 98
274 67765 58
275 6 14
275 9525 57
275 62762 50
276 15272 67
276 53408 87
277 27174 64
277 47277 29
277 56893 30
277 62382 74
277 62703 24
277 70254 86
278 13144 7
278 55037 93
278 55597 90
279 10760 7
279 11727 38
279 22358 81
279 31431 97
279 33244 8
279 35265 34
279 42317 96
279 55207 25
279 58680 87
282 31440 80
282 39768 38
282 39776 38
282 40201 60
282 42569 56
282 42943 43
283 18648 86
283 55957 72
283 61259 26
284 29884 69
284 54397 70
284 59978 15
284 65121 4
284 84920 25
286 57416 78
286 66368 56
287 8486 22
287 11851 68
287 37073 34
287 80624 5
288 5556 41
288 15878 6
288 54739 68
288 55152 95
290 16040 61
290 28497 96
290 34853 32
290 53862 9
292 3353 76
292 12015 74
292 13121 49
292 17593 20
292 38875 81
292 44856 42
292 57847 26
292 59293 59
292 71342 21
294 8796 11
294 27810 44
294 50928 40
294 64495 60
296 10568 11
296 16640 3
296 16895 65
296 36762 39
296 48352 79
296 48667 61
297 9139 1
297 30329 51
297 53816 66
297 69844 9
297 76914 94
298 6777 56
298 26617 38
298 29564 79
298 37896 91
298 49921 26
298 55409 50
300 8851 60
300 40389 58
300 44363 19
300 57995 73
302 5562 61
302 35227 23
302 41736 5
302 45956 56
302 46893 76
302 60775 82
302 61081 24
303 42615 49
303 64977 68
303 71807 40
304 39646 3
304 48819 48
304 55701 68
304 84112 45
305 1177 18
305 58429 4
305 63327 40
305 73722 54
305 91485 82
306 3779 56
306 7480 73
306 7950 87
306 14462 43
306 26964 19
306 30059 32
306 61276 70
308 7904 94
308 31319 57
308 35906 94
308 37834 30
308 37868 100
308 39599 1
308 47021 79
308 48688 72
308 72245 70
308 83520 22
310 6514 66
310 7632 49
310 44064 58
310 67042 46
313 6801 38
313 11762 100
313 46156 16
313 48843 16
313 53721 33
313 63755 30
313 67709 6
313 75388 6
313 86537 10
315 1085 91
315 22095 51
315 39479 78
315 40016 67
315 48594 8
315 53557 76
315 61531 53
315 68675 96
317 10580 47
317 21169 26
317 22229 63
317 25564 81
317 25876 32
317 45311 89
317 68448 6
317 68489 82
318 11077 6
318 16885 83
318 25192 7
318 37805 52
318 47542 6
